konum,fiyat,ilan_tarihi,metrekare,bina_yasi,toplam_kat_sayisi,oda_sayisi,bulundugu_kat,kredi_uygunlugu
catalca,42000000,22 Şubat 2022,740.0,11,2,5+1,Villa Tipi,Bilinmiyor
cekmekoy,2500000,02 Mart 2022,137.0,11,7,3+1,2. Kat,Krediye Uygun
cekmekoy,690000,22 Şubat 2022,90.0,0,5,2+1,2. Kat,Krediye Uygun
cekmekoy,1350000,28 Şubat 2022,130.0,5,5,3+1,Çatı Katı,Krediye Uygun
cekmekoy,1299000,27 Ocak 2022,185.0,5,3,4+1,3. Kat,Krediye Uygun
cekmekoy,2350000,31 Aralık 2021,200.0,0,5,4+2,5. Kat,Krediye Uygun
cekmekoy,2000000,26 Şubat 2022,195.0,0,4,3+2,Çatı Katı,Krediye Uygun
cekmekoy,445000,22 Kasım 2021,100.0,0,5,2+1,2. Kat,Krediye Uygun
esenler,610000,27 Şubat 2022,98.0,0,4,3+1,Bahçe Katı,Krediye Uygun
esenler,850000,26 Şubat 2022,85.0,0,4,2+1,2. Kat,Krediye Uygun
esenler,475000,26 Şubat 2022,80.0,0,4,2+1,Bahçe Dublex,Krediye Uygun
esenyurt,355000,28 Şubat 2022,110.0,0,4,2+1,3. Kat,Krediye Uygun
esenyurt,385000,04 Mart 2022,100.0,3,5,2+1,Bahçe Katı,Krediye Uygun
esenyurt,469000,26 Şubat 2022,110.0,4,4,2+1,Bahçe Katı,Krediye Uygun
esenyurt,860000,03 Mart 2022,75.0,4,12,1+1,4. Kat,Krediye Uygun
esenyurt,570000,21 Şubat 2022,100.0,5,5,2+1,Yüksek Giriş,Krediye Uygun
esenyurt,350000,19 Şubat 2022,100.0,0,5,2+1,3. Kat,Krediye Uygun
esenyurt,560000,27 Şubat 2022,80.0,4,15,1+1,13. Kat,Krediye Uygun Değil
esenyurt,579999,04 Mart 2022,120.0,4,4,2+1,1. Kat,Krediye Uygun
esenyurt,699000,04 Mart 2022,155.0,0,5,3+1,2. Kat,Krediye Uygun
esenyurt,708500,12 Şubat 2022,135.0,5,5,3+1,2. Kat,Krediye Uygun
esenyurt,419000,04 Mart 2022,160.0,0,5,4+1,Bahçe Katı,Krediye Uygun
eyupsultan,1650000,26 Şubat 2022,180.0,0,4,3+2,Çatı Dubleks,Krediye Uygun
eyupsultan,2250000,08 Şubat 2022,70.0,0,4,1+1,2. Kat,Krediye Uygun
eyupsultan,1629000,04 Mart 2022,105.0,0,13,2+1,3. Kat,Krediye Uygun
eyupsultan,2150000,30 Ocak 2022,120.0,0,4,2+1,Bahçe Katı,Krediye Uygun
eyupsultan,419000,26 Ocak 2022,100.0,4,4,2+1,Kot 1 (-1). Kat,Krediye Uygun
eyupsultan,800000,04 Şubat 2022,180.0,3,6,5+2,Çatı Dubleks,Krediye Uygun
fatih,850000,26 Şubat 2022,45.0,21,3,1 Oda,1. Kat,Krediye Uygun
fatih,900000,27 Aralık 2021,70.0,21,6,2+1,2. Kat,Krediye Uygun
fatih,12500000,17 Kasım 2021,105.0,0,6,1 Oda,1. Kat,Krediye Uygun
fatih,1250000,30 Eylül 2021,170.0,21,5,Stüdyo,Düz Giriş,Krediye Uygun
gaziosmanpasa,1500000,17 Şubat 2022,180.0,5,4,3+2,Çatı Dubleks,Krediye Uygun
